model	elpd_loo	elpd_loo_se	p_loo	p_loo_se	looic	looic_se	max_rhat	min_n_eff	elpd_diff	se_diff
rl_cp_basic_final	-5419.17346997042	141.701808594054	45.8220569085835	3.60370974461805	10838.3469399408	283.403617188108	1.05495587516332	89.7500948561622	0	0
rl_cp_basic_YP	-5420.85433858469	139.058357839075	43.5054302137262	3.83054039260736	10841.7086771694	278.116715678149	1.0299458747909	112.036661233406	-1.68086861426841	4.58778012918579
rl_cp_basic_SG	-5420.75264405987	140.898205851791	49.024703928305	3.5039675589468	10841.5052881197	281.796411703581	1.07380057936466	79.3425631484011	-1.57917408945075	2.60089316454128
