model	elpd_loo	elpd_loo_se	p_loo	p_loo_se	looic	looic_se	max_rhat	min_n_eff	elpd_diff	se_diff
rl_cp_basic_final	-5419.58156195683	141.438237523389	46.6739333161744	4.10219936552188	10839.1631239137	282.876475046778	1.00268065444471	270.405779730587	0	0
rl_cp_basic_YP	-5423.42365053905	139.365184731272	46.050728259839	3.70824093437716	10846.8473010781	278.730369462545	1.00657161468018	298.94001672498	-3.84208858222153	4.67926735322508
rl_cp_basic_SG	-5424.20686596593	139.718002402838	52.7025194522512	4.55505333453315	10848.4137319319	279.436004805677	1.03152865123667	174.816315863827	-4.62530400910477	3.81720578294036
