model	elpd_loo	elpd_loo_se	p_loo	p_loo_se	looic	looic_se	max_rhat	min_n_eff	elpd_diff	se_diff
rl_cp_basic_final	-5417.77503287557	141.703974909237	44.9030091958956	3.59247460616597	10835.5500657511	283.407949818475	1.06151562074592	158.693232962902	0	0
rl_cp_basic_YP	-5420.85433858469	139.058357839075	43.5054302137262	3.83054039260736	10841.7086771694	278.116715678149	1.0299458747909	112.036661233406	-3.07930570911257	4.79894389738699
rl_cp_basic_SG	-5420.75264405987	140.898205851791	49.024703928305	3.5039675589468	10841.5052881197	281.796411703581	1.07380057936466	79.3425631484011	-2.97761118429491	2.87445273362258
