"subID"	"mode"	"trial"	"choice"	"reaction_time"	"reward"	"condition"	"reward_prob_1"	"reward_prob_2"	"payoff_1"	"payoff_2"
"01"	"practice"	1	NA	NA	0	2	0.604881337828525	0.589525917668432	1	1
"01"	"practice"	2	1	1.08701790001942	0	0	0.645066269995826	0.532447233773351	0	0
"01"	"practice"	3	0	2.01898990001064	0	0	0.654473030423628	0.482017439868693	0	1
"01"	"practice"	4	1	2.54873189999489	0	0	0.629507027346635	0.425239754151142	1	0
"01"	"practice"	5	0	1.92430610000156	0	0	0.567942102341643	0.440449976972787	0	1
"01"	"practice"	6	1	1.06232389999786	0	0	0.505726561250371	0.476793700416252	1	0
"01"	"practice"	7	0	1.69448130001547	1	0	0.529910496170263	0.587505271668409	1	1
"01"	"practice"	8	1	1.93025700002909	1	0	0.403093949864824	0.691271920703381	1	1
"01"	"practice"	9	1	0.845677499950398	0	0	0.409857653071742	0.703002110217567	0	0
"01"	"practice"	10	NA	NA	0	2	0.4852593686873	0.613353842112282	0	0
"01"	"practice"	11	1	0.47631649998948	0	0	0.59824003013271	0.461101717539086	1	0
"01"	"practice"	12	1	0.279817499977071	0	0	0.57	0.57	1	0
"01"	"practice"	13	1	1.74291690002428	1	0	0.579271345360071	0.574325757250551	0	1
"01"	"practice"	14	1	0.460351899964735	1	1	0.520958560184316	0.543036659813899	1	1
"01"	"practice"	15	1	0.94832879997557	1	0	0.571306215105765	0.607148172349547	1	1
"01"	"main"	1	1	1.77976120001404	1	0	0.555576435403334	0.507331683071509	0	1
"01"	"main"	2	0	1.10159719997318	0	0	0.617351606142968	0.472209838262183	0	0
"01"	"main"	3	0	2.51446470001247	1	1	0.699814965848408	0.487189152330699	1	0
"01"	"main"	4	0	1.2282908000052	1	0	0.647251259999374	0.490570523148508	1	0
"01"	"main"	5	0	0.773881500004791	1	1	0.570538538035546	0.38222945411427	1	0
"01"	"main"	6	0	1.38796040002489	0	0	0.533687942383755	0.399934441997411	0	1
"01"	"main"	7	1	0.304815700044855	0	0	0.67666269149968	0.349401476995449	0	0
"01"	"main"	8	0	0.52846880001016	0	0	0.57461080493042	0.327510490836703	0	0
"01"	"main"	9	0	1.29288840002846	1	0	0.582284452413071	0.347729048417966	1	0
"01"	"main"	10	0	3.0363714999985	0	0	0.527791598529542	0.350367798239185	0	1
"01"	"main"	11	1	0.789057799964212	0	0	0.622098546707874	0.374150404794546	1	0
"01"	"main"	12	1	1.24841890000971	1	0	0.707187656210176	0.315027381896704	1	1
"01"	"main"	13	1	1.22898150002584	0	0	0.658319424029582	0.310095470511548	1	0
"01"	"main"	14	1	2.14166020002449	0	0	0.71509836871154	0.26558924336044	0	0
"01"	"main"	15	0	2.52238099998794	0	0	0.793784173387864	0.19788014979461	0	0
"01"	"main"	16	0	1.42369690001942	1	0	0.762025637902687	0.264268040786613	1	1
"01"	"main"	17	0	0.821329300000798	1	0	0.817794370837621	0.228816438657858	1	0
"01"	"main"	18	1	2.32637160003651	0	0	0.943505627675994	0.134531368694185	1	0
"01"	"main"	19	1	0.904299699992407	0	0	0.88042539427006	0.126117376695722	1	0
"01"	"main"	20	0	2.19359909999184	0	0	0.88141419902209	0.167715162454051	0	0
"01"	"main"	21	0	2.11101689998759	1	1	0.926475070515252	0.196257369156	1	0
"01"	"main"	22	0	1.78704919997836	1	0	0.762212792355211	0.240827910004588	1	1
"01"	"main"	23	0	3.93165320000844	1	0	0.832741819082016	0.242376315383812	1	0
"01"	"main"	24	1	0.555341400031466	1	1	0.87572801016491	0.210653147288722	1	1
"01"	"main"	25	1	0.602973100030795	0	0	0.901392550517004	0.287858765558841	0	0
"01"	"main"	26	0	0.680148600018583	0	0	0.5	0.5	0	1
"01"	"main"	27	1	0.538887900009286	0	0	0.47198289108407	0.479630803239395	0	0
"01"	"main"	28	0	1.07672309997724	0	0	0.451300860354397	0.563081093554472	0	1
"01"	"main"	29	1	0.898244100040756	1	0	0.344672941990869	0.579265483657169	1	1
"01"	"main"	30	1	0.56881450000219	0	0	0.337454289592964	0.594321228446069	1	0
"01"	"main"	31	0	0.784096399962436	1	0	0.367445229764992	0.580178205706305	1	0
"01"	"main"	32	0	0.974758900003508	0	0	0.497671249472267	0.58248521812116	0	1
"01"	"main"	33	1	1.06405449996237	1	0	0.333359355352326	0.623555180838034	1	1
"01"	"main"	34	0	1.9662418999942	0	0	0.241652282988025	0.686746779602761	0	1
"01"	"main"	35	0	1.33075359999202	1	1	0.195454841650344	0.661038457638478	1	1
"01"	"main"	36	0	2.22591959999409	0	0	0.180653959002254	0.685892261089408	0	1
"01"	"main"	37	0	1.28727720002644	1	0	0.258591041399634	0.712566846639682	1	0
"01"	"main"	38	1	1.02992210001685	1	0	0.303400046978359	0.719395712538573	1	1
"01"	"main"	39	0	0.857191099959891	1	0	0.277412315124341	0.749736745991295	1	1
"01"	"main"	40	1	0.628268899978139	1	1	0.320351770924529	0.776182387945535	0	1
"01"	"main"	41	0	0.847425199986901	0	0	0.26847779415513	0.880962369563303	0	1
"01"	"main"	42	0	1.19665529998019	1	0	0.334608505925852	0.834700648247268	1	1
"01"	"main"	43	1	0.424821599968709	1	0	0.257925492353917	0.867215787680252	0	1
"01"	"main"	44	1	0.860756199981552	1	0	0.407413615867797	0.783146094047992	0	1
"01"	"main"	45	0	0.505455200036522	0	0	0.425344217763901	0.826438187211729	0	1
"01"	"main"	46	0	0.38808170001721	1	1	0.466287605695082	0.82276383754746	1	1
"01"	"main"	47	0	0.604674500005785	1	0	0.46997818613805	0.83942550003661	1	0
"01"	"main"	48	0	0.4865346000297	1	0	0.509206483141894	0.791160598984749	1	1
"01"	"main"	49	0	0.696600699971896	0	0	0.518408421999646	0.772768505769246	0	1
"01"	"main"	50	1	0.894016400037799	1	0	0.563742787765027	0.821121422404046	0	1
"01"	"main"	51	1	0.844046899990644	1	1	0.476613123106746	0.844272177412898	1	1
"01"	"main"	52	1	0.994614499970339	1	0	0.51016316381515	0.875986259295828	0	1
"01"	"main"	53	0	0.929542500001844	0	0	0.537304612055424	0.945703829793078	0	1
"01"	"main"	54	1	1.26147860003402	1	0	0.5	0.5	1	1
"01"	"main"	55	1	0.494762000045739	1	0	0.581265985279672	0.492952738728127	1	1
"01"	"main"	56	1	0.560732699988876	0	0	0.532370029676829	0.517844152000677	1	0
"01"	"main"	57	0	1.30850529996678	0	0	0.63320557342562	0.532542370027412	0	1
"01"	"main"	58	1	0.576012000034098	0	0	0.616819735713173	0.575295028107811	0	0
"01"	"main"	59	0	1.85347420000471	1	1	0.620794210781112	0.529700206254975	1	1
"01"	"main"	60	0	0.605412899982184	1	0	0.692799118934886	0.472623485360633	1	0
"01"	"main"	61	0	1.14867799996864	1	0	0.630777930827792	0.540848790223134	1	0
"01"	"main"	62	0	0.759945300000254	1	0	0.601061016580427	0.562953817181234	1	1
"01"	"main"	63	0	0.57192210003268	1	0	0.593862827930525	0.548533525677581	1	1
"01"	"main"	64	0	0.949877900013234	1	0	0.51746526747761	0.560305780952636	1	1
"01"	"main"	65	0	0.795891700021457	0	0	0.590323363542731	0.48845822531535	0	0
"01"	"main"	66	1	1.0028433999978	0	0	0.592687065368938	0.383879183802933	0	0
