mode,trial,choice,reaction_time,reward,condition,reward_prob_1,reward_prob_2,payoff_1,payoff_2
main,66,1.0,0.4404240999992908,0,0,0.5926870653689377,0.3838791838029327,0,0
main,67,1.0,0.551269699999466,0,0,0.5892403132436296,0.3817475076191324,1,0
main,68,0.0,0.4244072000001324,1,0,0.7275026864529266,0.3243066927127273,1,0
main,69,0.0,0.3863724999991973,0,0,0.7980980413424485,0.3541915050790173,0,1
main,70,0.0,0.3596925999991072,1,1,0.7695153346217791,0.383505458471255,1,0
main,71,0.0,0.4831372999997256,0,0,0.6653645361105918,0.4128171778673541,0,1
main,72,0.0,0.4171343999987584,1,0,0.6073661955115576,0.4310398720744426,1,1
main,73,0.0,0.6171188999996957,1,0,0.5942397913883076,0.483238078737103,1,0
main,74,0.0,0.6382744000002276,0,0,0.5896869148914189,0.5257662349966389,0,0
main,75,0.0,0.5191049000004568,1,0,0.6425778142776175,0.4396669464203798,1,0
main,76,0.0,0.3851231000007828,1,0,0.7300274674782545,0.3957087910043121,1,1
main,77,0.0,0.5362910999992891,0,0,0.7186550196140093,0.424261688642449,0,0
main,78,0.0,0.5163651000002574,1,1,0.7305718026908747,0.4321459256890917,1,0
main,79,0.0,0.3777324999991833,0,0,0.7370942615817434,0.4307676582495907,0,1
main,80,0.0,0.4992032999998628,0,0,0.5,0.5,0,0
main,81,1.0,0.462215899999137,0,0,0.5132840524848181,0.5293818934658765,1,0
main,82,0.0,0.6691593999985344,0,0,0.4642377213378965,0.496110214648747,0,1
main,83,1.0,0.5961856000012631,0,0,0.5602326971661055,0.4573340755356077,1,0
main,84,1.0,0.3397834000006696,0,0,0.5116863524921631,0.5780463466624218,1,0
main,85,1.0,0.4536659000004874,0,0,0.4047122332770528,0.5790790009340349,0,0
main,86,0.0,0.4151177999992796,0,0,0.3694809299222456,0.5862831269214344,0,1
main,87,0.0,1.0881571999998414,1,0,0.3225037940037636,0.6022945459428005,1,0
main,88,0.0,0.3350432999995973,0,0,0.1342688090626034,0.6866723600221399,0,0
main,89,0.0,0.3596366999991005,0,0,0.1555065733328757,0.7546355228545348,0,1
main,90,0.0,0.4581321999994543,0,0,0.2830480646641918,0.7914573803464442,0,0
main,91,1.0,0.4510852000003069,1,0,0.1931758696451702,0.787845018926644,0,1
main,92,1.0,0.4175440999988495,0,0,0.075350179431446,0.8234143372266621,0,0
main,93,1.0,0.3978133000000525,1,1,0.1354693859408531,0.7998908614819095,0,1
main,94,1.0,0.3841917000008834,1,0,0.2179756448755928,0.7420740771042619,0,1
main,95,1.0,0.567120599998816,1,0,0.2232368680313753,0.6394762355012212,1,1
main,96,1.0,0.4760934999994788,1,0,0.1909316823763556,0.6701191461881759,1,1
main,97,1.0,0.4841677999993408,0,0,0.1647956976442649,0.7135014852262302,0,0
main,98,1.0,0.4016489000005094,1,1,0.0587941918366612,0.739150293757189,0,1
main,99,1.0,0.5190421999996033,1,0,0.0846386055056624,0.7304036205133201,0,1
main,100,1.0,0.498213199998645,0,0,0.0958368123128416,0.7216852778566158,0,0
main,101,1.0,1.9056676000000152,1,0,0.053832202433148,0.7867221324940191,1,1
main,102,1.0,0.407015799999499,1,0,0.0,0.7611026850077649,0,1
main,103,1.0,0.4053538999996817,1,0,0.0,0.7766939332735237,0,1
main,104,1.0,0.486984899998788,1,0,0.0,0.8195643681910253,0,1
main,105,1.0,0.5529988999987836,1,1,0.0,0.8102677501833043,0,1
main,106,1.0,0.5201582999998209,1,0,0.0,0.8203399134579676,0,1
main,107,1.0,0.5396739999996498,1,1,0.0169675199114359,0.786492443657461,0,1
main,108,1.0,0.417498799999521,0,0,0.0847207455288439,0.7365774614649012,0,0
main,109,1.0,0.3861114999999699,1,0,0.1472792841827692,0.7634197353938306,0,1
main,110,1.0,0.625048700001571,0,0,0.2766132546992333,0.6952382846748204,1,0
main,111,1.0,0.444243899999492,1,0,0.3348625009998416,0.7002650906230729,1,1
main,112,1.0,0.3592886000005819,1,0,0.3408510402225987,0.802727392986362,1,1
main,113,1.0,0.3530735000003915,1,0,0.3310923526091284,0.8279283283650187,1,1
main,114,1.0,0.3213665000002947,1,0,0.3195668895291143,0.8467243158131751,0,1
main,115,1.0,0.4542215999990731,1,1,0.3036410509551409,0.8318441266317846,0,1
main,116,1.0,0.4524957000012364,1,0,0.2846728085272939,0.759483115493039,0,1
main,117,1.0,0.5449220999998943,1,1,0.5,0.5,0,1
main,118,1.0,0.4009940000014467,1,0,0.4050775462133233,0.5103002713083264,0,1
main,119,1.0,0.4033524000005855,0,0,0.3977788229048323,0.4866453196994396,0,0
main,120,1.0,0.3434823999996297,0,0,0.4402277287353381,0.4760952451828555,1,0
main,121,1.0,0.4829435000010562,1,0,0.5604660542577968,0.4564459844030292,0,1
main,122,1.0,0.3541289000004326,0,0,0.706278861372574,0.4329900149760554,0,0
main,123,1.0,0.4500707000006514,1,0,0.775883980754819,0.37127124175343,1,1
main,124,1.0,0.48197380000056,1,1,0.7381789988085607,0.4373915832480214,0,1
main,125,1.0,0.3539051999996445,1,0,0.8156192203723618,0.4410317621720444,0,1
main,126,1.0,0.4054197999994358,1,0,0.7691735397146365,0.4831904832576598,0,1
main,127,1.0,0.3758718999997654,1,0,0.8168713609966983,0.4418172019739201,1,1
main,128,1.0,0.5668406999993749,0,0,0.777819424053782,0.4447617738992518,1,0
main,129,1.0,0.4828816999997798,1,0,0.7962828457389952,0.5065363777220219,1,1
main,130,1.0,0.6254198000005999,1,1,0.7596400915526681,0.4818962032828567,0,1
main,131,1.0,0.5349148999994213,1,0,0.7424399300012682,0.5156737339489454,1,1
main,132,1.0,0.3673397000002296,0,0,0.7991952762845126,0.4763011458198065,1,0
main,133,1.0,0.3415827999997418,0,0,0.8334587465262288,0.4534083918931569,0,0
main,134,1.0,0.4467893000000913,0,0,0.8023429610740139,0.4120443982203061,1,0
main,135,1.0,0.4469258999997691,0,0,0.7304231152320987,0.4000140753226167,1,0
main,136,1.0,0.4588636999997106,0,0,0.5,0.5,1,0
main,137,0.0,0.3641091999998025,1,1,0.5632269661580044,0.4582072367472519,1,1
main,138,0.0,0.4019368000008398,1,0,0.5397618659074201,0.4727143084213266,1,1
main,139,0.0,0.4761235000005399,1,0,0.5883167931630358,0.4246222750442037,1,0
main,140,0.0,0.4274255000000266,1,0,0.6357700369182794,0.3722268587558095,1,0
main,141,0.0,0.3514052000009542,1,0,0.7016731179032693,0.2883669358680485,1,1
main,142,0.0,0.3712922999984585,1,1,0.7861997667887348,0.2924002481299416,1,0
main,143,0.0,0.4618798999999853,1,0,0.8015589141339458,0.2780680537050812,1,0
main,144,0.0,0.4160755000011704,0,0,0.7118255919024026,0.3335638556049117,0,1
main,145,0.0,0.4394480000009935,1,0,0.8365526611439688,0.2429065236755094,1,0
main,146,0.0,0.3988281000001734,1,0,0.93136678309911,0.2409242629929413,1,0
