mode,trial,choice,reaction_time,reward,condition,reward_prob_1,reward_prob_2,payoff_1,payoff_2
practice,1,1,1.4344304583210032,1,0,0.6048813378285252,0.5895259176684322,1,1
practice,2,1,2.56294987500587,0,0,0.6450662699958258,0.532447233773351,0,0
practice,3,0,0.9904251666594064,0,0,0.6544730304236281,0.4820174398686927,0,1
practice,4,0,0.44433324999408796,1,1,0.6295070273466354,0.4252397541511419,1,0
practice,5,0,0.5252574166661361,0,0,0.5679421023416429,0.4404499769727866,0,1
practice,6,0,1.163017791681341,1,0,0.5057265612503707,0.4767937004162516,1,0
practice,7,0,1.4250312499934807,1,0,0.5299104961702631,0.5875052716684093,1,1
practice,8,1,1.820066250002128,1,0,0.4030939498648241,0.6912719207033811,1,1
practice,9,1,1.8852850416587899,0,0,0.4098576530717423,0.703002110217567,0,0
practice,10,1,0.4739292499871226,0,0,0.4852593686872998,0.6133538421122819,0,0
practice,11,1,0.6895554166694637,0,0,0.5982400301327102,0.4611017175390863,1,0
practice,12,1,0.49087054167466704,0,0,0.5700000000000001,0.5700000000000001,1,0
practice,13,0,1.1936568333476316,0,0,0.5792713453600711,0.5743257572505513,0,1
practice,14,1,0.811451916655642,1,0,0.5209585601843156,0.5430366598138994,1,1
practice,15,1,0.683057166665094,1,1,0.5713062151057653,0.6071481723495469,1,1
