mode,trial,choice,reaction_time,reward,condition,reward_prob_1,reward_prob_2,payoff_1,payoff_2
practice,1,,,0,2,0.6048813378285252,0.5895259176684322,1,1
practice,2,,,0,2,0.6450662699958258,0.532447233773351,0,0
practice,3,0.0,0.9403715833323076,0,0,0.6544730304236281,0.4820174398686927,0,1
practice,4,1.0,0.5199455833317188,0,0,0.6295070273466354,0.4252397541511419,1,0
practice,5,0.0,0.26602458333582035,0,0,0.5679421023416429,0.4404499769727866,0,1
practice,6,0.0,0.2971591250025085,1,0,0.5057265612503707,0.4767937004162516,1,0
practice,7,1.0,0.24423262499840348,1,1,0.5299104961702631,0.5875052716684093,1,1
practice,8,0.0,0.371041291669826,1,0,0.4030939498648241,0.6912719207033811,1,1
practice,9,0.0,0.3644535833373084,0,0,0.4098576530717423,0.703002110217567,0,0
practice,10,1.0,0.4888441666662402,0,0,0.4852593686872998,0.6133538421122819,0,0
practice,11,0.0,0.34802758333535166,1,0,0.5982400301327102,0.4611017175390863,1,0
practice,12,0.0,0.4120301250004559,1,1,0.5700000000000001,0.5700000000000001,1,0
practice,13,0.0,0.4743362499975774,0,0,0.5792713453600711,0.5743257572505513,0,1
practice,14,0.0,0.33324604166773497,1,0,0.5209585601843156,0.5430366598138994,1,1
practice,15,1.0,0.4283317083354632,1,0,0.5713062151057653,0.6071481723495469,1,1
main,1,0.0,1.2254937500001688,1,0,0.6048813378285252,0.5895259176684322,1,1
main,2,1.0,0.3156685416615801,0,0,0.6450662699958258,0.532447233773351,0,0
main,3,0.0,0.2685869583328895,0,0,0.6544730304236281,0.4820174398686927,0,1
main,4,1.0,0.2910473333358823,0,0,0.6295070273466354,0.4252397541511419,1,0
main,5,1.0,0.2440281666640658,1,1,0.5679421023416429,0.4404499769727866,0,1
main,6,0.0,1.180426750001061,1,0,0.5057265612503707,0.4767937004162516,1,0
main,7,,,0,2,0.5299104961702631,0.5875052716684093,1,1
main,8,,,0,2,0.4030939498648241,0.6912719207033811,1,1
main,9,,,0,2,0.4098576530717423,0.703002110217567,0,0
main,10,,,0,2,0.4852593686872998,0.6133538421122819,0,0
main,11,,,0,2,0.5982400301327102,0.4611017175390863,1,0
main,12,,,0,2,0.5700000000000001,0.5700000000000001,1,0
main,13,,,0,2,0.5792713453600711,0.5743257572505513,0,1
main,14,,,0,2,0.5209585601843156,0.5430366598138994,1,1
main,15,,,0,2,0.5713062151057653,0.6071481723495469,1,1
main,16,,,0,2,0.478670147214182,0.6542559356743571,0,1
main,17,,,0,2,0.4559474196172988,0.628270565755606,1,1
main,18,,,0,2,0.4114849636133041,0.6509593662082387,1,0
main,19,,,0,2,0.4492141157461653,0.5962224781859093,0,0
main,20,,,0,2,0.4234827721276915,0.6045239896224839,1,1
main,21,,,0,2,0.3508345945272437,0.6594144058995359,1,1
main,22,,,0,2,0.3415989170009572,0.7115899011268907,1,1
main,23,,,0,2,0.3883485439386355,0.6918888537107928,0,1
main,24,,,0,2,0.3810809878607631,0.7149727187852202,0,1
main,25,,,0,2,0.3339707355248876,0.7561486555027139,0,1
main,26,,,0,2,0.5700000000000001,0.5700000000000001,1,1
main,27,,,0,2,0.6181561283375387,0.6231422401982021,0,0
main,28,,,0,2,0.4832636860493028,0.6470757634525464,0,1
main,29,,,0,2,0.5421156639200861,0.5865133115714598,0,0
main,30,,,0,2,0.5755622124740085,0.59173474161431,0,0
main,31,,,0,2,0.6160641582016868,0.5244041499796106,0,1
main,32,,,0,2,0.5558632805030326,0.5122177816419418,1,1
main,33,,,0,2,0.5160862113369808,0.4506150186985036,1,0
main,34,,,0,2,0.4757928094855852,0.5301517077765836,1,1
main,35,,,0,2,0.406335556397906,0.5270309201018561,1,1
main,36,,,0,2,0.5059087683407706,0.4939744124460604,0,1
main,37,,,0,2,0.4902644683781262,0.5767408197955519,0,1
main,38,,,0,2,0.5909661348696365,0.5738713402749775,0,1
main,39,,,0,2,0.5638525837886117,0.5539668794607266,0,1
main,40,,,0,2,0.6019801890187129,0.5194400121376862,1,0
main,41,,,0,2,0.679634466586071,0.437383358986768,0,0
main,42,,,0,2,0.7068103358901341,0.4349374952933355,1,0
main,43,,,0,2,0.6608318593967337,0.4966404448244752,1,1
main,44,,,0,2,0.6341783492570825,0.4661887967241874,0,1
main,45,,,0,2,0.6691902756329831,0.3989619150064006,1,0
main,46,,,0,2,0.6793164899544051,0.3637479377743482,0,0
main,47,,,0,2,0.5700000000000001,0.5700000000000001,0,0
main,48,,,0,2,0.4624184182743872,0.5195893249514367,0,0
main,49,,,0,2,0.3938918157660427,0.5394169481370565,0,1
main,50,,,0,2,0.3832014510431259,0.455836321692466,0,1
main,51,,,0,2,0.4075754981821255,0.5058871628348487,0,1
main,52,,,0,2,0.3559445255502167,0.5327201475142345,0,0
main,53,,,0,2,0.3798713805858937,0.4415879831644567,0,1
main,54,,,0,2,0.3494987548812956,0.4871714216670862,0,1
main,55,,,0,2,0.3483290828500895,0.4583240098161725,0,0
