mode,trial,choice,reaction_time,reward,condition,reward_prob_1,reward_prob_2,payoff_1,payoff_2
practice,1,,,0,2,0.6048813378285252,0.5895259176684322,1,1
practice,2,0,1.2237238000002435,0,0,0.6450662699958258,0.532447233773351,0,0
practice,3,1,1.1968374000002768,1,0,0.6544730304236281,0.4820174398686927,0,1
practice,4,1,1.1283118000001195,0,0,0.6295070273466354,0.4252397541511419,1,0
practice,5,0,0.5087831000000733,0,0,0.5679421023416429,0.4404499769727866,0,1
practice,6,1,0.6489426999996795,0,0,0.5057265612503707,0.4767937004162516,1,0
practice,7,0,0.34572290000005523,1,0,0.5299104961702631,0.5875052716684093,1,1
practice,8,1,0.41273679999994783,1,0,0.4030939498648241,0.6912719207033811,1,1
practice,9,0,0.526760700000068,0,0,0.4098576530717423,0.703002110217567,0,0
practice,10,1,0.5442257999998219,0,0,0.4852593686872998,0.6133538421122819,0,0
practice,11,0,0.3821941999999581,1,1,0.5982400301327102,0.4611017175390863,1,0
practice,12,1,0.39033740000013495,0,0,0.5700000000000001,0.5700000000000001,1,0
practice,13,0,0.7103646999999,0,0,0.5792713453600711,0.5743257572505513,0,1
practice,14,1,0.5056690999999773,1,0,0.5209585601843156,0.5430366598138994,1,1
practice,15,0,0.41570769999998447,1,0,0.5713062151057653,0.6071481723495469,1,1
main,1,0,0.9102434999999787,0,0,0.5555764354033338,0.507331683071509,0,1
main,2,1,0.3482738000002428,0,0,0.6173516061429684,0.4722098382621827,0,0
main,3,1,0.3141147000001183,0,0,0.6998149658484075,0.4871891523306988,1,0
main,4,1,0.3641245999997409,0,0,0.6472512599993743,0.4905705231485084,1,0
main,5,1,0.7271072000003187,0,0,0.5705385380355457,0.3822294541142697,1,0
main,6,0,0.45261050000044634,0,0,0.5336879423837548,0.3999344419974107,0,1
main,7,1,1.252789699999994,0,0,0.6766626914996801,0.3494014769954491,0,0
main,8,0,0.8488016000001153,0,0,0.5746108049304197,0.3275104908367029,0,0
main,9,0,1.2756460000000516,1,1,0.5822844524130715,0.3477290484179657,1,0
main,10,1,0.4501557000003231,1,0,0.5277915985295425,0.3503677982391853,0,1
main,11,1,0.6582943999992494,0,0,0.6220985467078743,0.3741504047945457,1,0
main,12,1,1.8121034999994663,1,1,0.7071876562101755,0.315027381896704,1,1
main,13,0,0.3226961999998821,1,0,0.6583194240295823,0.3100954705115482,1,0
main,14,0,0.29618680000021413,0,0,0.7150983687115405,0.2655892433604397,0,0
main,15,0,0.44888470000023517,0,0,0.7937841733878638,0.1978801497946095,0,0
main,16,1,0.4467826000000059,1,0,0.7620256379026874,0.2642680407866135,1,1
main,17,0,0.5047904000002745,1,0,0.817794370837621,0.2288164386578578,1,0
main,18,1,0.9980527999996411,0,0,0.9435056276759936,0.1345313686941853,1,0
main,19,0,1.168726400000196,1,0,0.8804253942700598,0.1261173766957216,1,0
main,20,1,0.9502386000003753,0,0,0.8814141990220901,0.1677151624540507,0,0
main,21,0,3.1549034999998185,1,1,0.9264750705152516,0.1962573691559996,1,0
main,22,1,1.3422004000003653,1,0,0.762212792355211,0.2408279100045875,1,1
main,23,1,1.862457799999902,0,0,0.8327418190820164,0.2423763153838119,1,0
main,24,1,2.537568100000499,1,0,0.8757280101649098,0.2106531472887219,1,1
main,25,0,0.5915519000000131,0,0,0.9013925505170036,0.2878587655588414,0,0
main,26,1,2.871436299999914,1,1,0.5,0.5,0,1
main,27,0,1.2061267999997654,0,0,0.4719828910840698,0.4796308032393948,0,0
main,28,0,4.13473040000008,0,0,0.4513008603543974,0.5630810935544721,0,1
main,29,1,3.923447000000124,1,0,0.3446729419908692,0.5792654836571692,1,1
main,30,1,0.5760113999995156,0,0,0.3374542895929637,0.5943212284460686,1,0
main,31,1,2.1436493000001065,0,0,0.367445229764992,0.5801782057063045,1,0
main,32,0,1.1667120000001887,0,0,0.4976712494722673,0.5824852181211599,0,1
main,33,1,1.1306107999998858,1,0,0.3333593553523262,0.6235551808380343,1,1
main,34,1,1.7615790999998353,1,0,0.2416522829880249,0.6867467796027612,0,1
main,35,1,1.0588351999995211,1,1,0.1954548416503445,0.6610384576384785,1,1
main,36,1,0.5293875999996089,1,0,0.1806539590022541,0.6858922610894085,0,1
main,37,1,0.4087607000001299,0,0,0.2585910413996341,0.7125668466396822,1,0
main,38,0,1.3494693000002371,1,0,0.3034000469783592,0.719395712538573,1,1
main,39,0,0.5441086999999243,1,0,0.2774123151243411,0.7497367459912953,1,1
main,40,0,1.2325141999999687,0,0,0.3203517709245289,0.7761823879455345,0,1
main,41,0,1.3921000999998796,0,0,0.2684777941551301,0.8809623695633028,0,1
main,42,1,2.10683280000012,1,1,0.3346085059258523,0.8347006482472681,1,1
main,43,1,2.3885881999995036,1,0,0.2579254923539166,0.867215787680252,0,1
main,44,1,0.6603514000007635,1,0,0.4074136158677973,0.783146094047992,0,1
main,45,1,1.1318326000000525,1,0,0.425344217763901,0.8264381872117291,0,1
main,46,1,0.9850191000004997,1,1,0.4662876056950817,0.8227638375474596,1,1
main,47,1,0.46998290000010456,0,0,0.4699781861380498,0.8394255000366103,1,0
