mode,trial,choice,reaction_time,reward,condition,reward_prob_1,reward_prob_2,payoff_1,payoff_2
practice,1,1,1.5724778750154655,1,0,0.6048813378285252,0.5895259176684322,1,1
practice,2,1,0.3998229999851901,0,0,0.6450662699958258,0.532447233773351,0,0
practice,3,1,0.4849592499958817,1,0,0.6544730304236281,0.4820174398686927,0,1
practice,4,1,0.48049804163747467,0,0,0.6295070273466354,0.4252397541511419,1,0
practice,5,1,0.5131676666787826,1,0,0.5679421023416429,0.4404499769727866,0,1
practice,6,1,0.5644410833192524,0,0,0.5057265612503707,0.4767937004162516,1,0
practice,7,1,0.5388562916778028,1,1,0.5299104961702631,0.5875052716684093,1,1
practice,8,1,0.760144958330784,1,0,0.4030939498648241,0.6912719207033811,1,1
practice,9,1,0.5880731666693464,0,0,0.4098576530717423,0.703002110217567,0,0
practice,10,1,0.5161145000020042,0,0,0.4852593686872998,0.6133538421122819,0,0
practice,11,1,0.6549420416704379,0,0,0.5982400301327102,0.4611017175390863,1,0
practice,12,1,1.2772409999743104,0,0,0.5700000000000001,0.5700000000000001,1,0
practice,13,1,0.6364705833257176,1,0,0.5792713453600711,0.5743257572505513,0,1
practice,14,1,0.4853343333234079,1,0,0.5209585601843156,0.5430366598138994,1,1
practice,15,1,0.4988776249811053,1,1,0.5713062151057653,0.6071481723495469,1,1
