mode,trial,choice,reaction_time,reward,condition,reward_prob_1,reward_prob_2,payoff_1,payoff_2
practice,1,0,0.46395695832325146,1,0,0.6048813378285252,0.5895259176684322,1,1
main,1,1,1.1854220416862518,1,0,0.5555764354033338,0.507331683071509,0,1
main,2,0,2.016746041714214,0,0,0.6173516061429684,0.4722098382621827,0,0
main,3,0,0.6670688333106227,1,0,0.6998149658484075,0.4871891523306988,1,0
main,4,0,1.7786919582867995,1,1,0.6472512599993743,0.4905705231485084,1,0
main,5,0,0.9961658749962226,1,0,0.5705385380355457,0.3822294541142697,1,0
