mode,trial,choice,reaction_time,reward,condition,reward_prob_1,reward_prob_2,payoff_1,payoff_2
practice,1,0.0,0.9784634164534509,1,1,0.6048813378285252,0.5895259176684322,1,1
practice,2,0.0,1.3248889166861773,0,0,0.6450662699958258,0.532447233773351,0,0
practice,3,1.0,1.200060666538775,1,0,0.6544730304236281,0.4820174398686927,0,1
practice,4,,,0,2,0.6295070273466354,0.4252397541511419,1,0
practice,5,0.0,0.574239291716367,0,0,0.5679421023416429,0.4404499769727866,0,1
main,1,1.0,0.7354598748497665,1,0,0.6048813378285252,0.5895259176684322,1,1
main,2,0.0,3.444309249985963,0,0,0.6450662699958258,0.532447233773351,0,0
main,3,1.0,0.8869186663068831,1,0,0.6544730304236281,0.4820174398686927,0,1
main,4,0.0,0.8018089579418302,1,0,0.6295070273466354,0.4252397541511419,1,0
main,5,0.0,0.8440069579519331,0,0,0.5679421023416429,0.4404499769727866,0,1
